degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
26,"(65, 23, 2, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 23, 2, 2, 2, 2, 2, 2, 2, 2)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 22, 5, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_5_3;w_12_40_5_3,"max(0, p13, p14)",0,,OPEN,"(61, 22, 5, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 22, 4, 3, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_5_2_1;w_12_40_5_2_1,"max(0, p13, p14)",0,,OPEN,"(61, 22, 4, 3, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 22, 4, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 22, 4, 2, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 22, 3, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 22, 3, 3, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 22, 3, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 22, 3, 2, 2, 2, 2, 2, 2, 2)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 21, 6, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_4_4;w_12_40_4_4,"max(0, p13, p14)",0,,OPEN,"(61, 21, 6, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 21, 5, 3, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_4_3_1;w_12_40_4_3_1,"max(0, p13, p14)",0,,OPEN,"(61, 21, 5, 3, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 21, 5, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 21, 5, 2, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 21, 4, 4, 2, 2, 2, 2, 2)",9,True,True,False,w_13_44_4_2_2;w_12_40_4_2_2,"max(0, p13, p14)",0,,OPEN,"(61, 21, 4, 4, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
