delta,lam,ell,a,m_det,class,margin
8,12|5|4|4|4|3,6,4,7123,silent,7119
8,12|4|4|4|4|4,6,4,804,silent,800
8,11|11|7|1|1|1,6,3,787,silent,784
8,11|11|6|2|1|1,6,16,3509,silent,3493
8,11|11|5|3|1|1,6,15,5886,silent,5871
8,11|11|5|2|2|1,6,16,5367,silent,5351
8,11|11|4|4|1|1,6,13,3227,silent,3214
8,11|11|4|3|2|1,6,17,8094,silent,8077
8,11|11|4|2|2|2,6,4,3034,silent,3030
8,11|11|3|3|3|1,6,0,-1,a0,
8,11|11|3|3|2|2,6,5,2664,silent,2659
8,11|10|8|1|1|1,6,4,1050,silent,1046
8,11|10|7|2|1|1,6,22,6422,silent,6400
8,11|10|6|3|1|1,6,35,14881,silent,14846
8,11|10|6|2|2|1,6,35,13316,silent,13281
8,11|10|5|4|1|1,6,33,14863,silent,14830
8,11|10|5|3|2|1,6,49,29794,silent,29745
8,11|10|5|2|2|2,6,18,10576,silent,10558
8,11|10|4|4|2|1,6,31,17609,silent,17578
8,11|10|4|3|3|1,6,13,15889,silent,15876
8,11|10|4|3|2|2,6,18,17524,silent,17506
8,11|10|3|3|3|2,6,1,6194,silent,6193
8,11|9|9|1|1|1,6,3,548,silent,545
8,11|9|8|2|1|1,6,18,5374,silent,5356
8,11|9|7|3|1|1,6,41,18203,silent,18162
8,11|9|7|2|2|1,6,35,15773,silent,15738
8,11|9|6|4|1|1,6,55,27384,silent,27329
8,11|9|6|3|2|1,6,72,50525,silent,50453
8,11|9|6|2|2|2,6,22,17170,silent,17148
8,11|9|5|5|1|1,6,22,14232,silent,14210
8,11|9|5|4|2|1,6,73,56429,silent,56356
8,11|9|5|3|3|1,6,32,41258,silent,41226
8,11|9|5|3|2|2,6,35,43589,silent,43554
8,11|9|4|4|3|1,6,33,30735,silent,30702
8,11|9|4|4|2|2,6,21,27245,silent,27224
8,11|9|4|3|3|2,6,11,30924,silent,30913
8,11|9|3|3|3|3,6,0,-1,a0,
8,11|8|8|3|1|1,6,17,8211,silent,8194
8,11|8|8|2|2|1,6,17,7312,silent,7295
8,11|8|7|4|1|1,6,43,23579,silent,23536
8,11|8|7|3|2|1,6,57,42125,silent,42068
8,11|8|7|2|2|2,6,17,14116,silent,14099
8,11|8|6|5|1|1,6,35,24599,silent,24564
8,11|8|6|4|2|1,6,91,77548,silent,77457
8,11|8|6|3|3|1,6,36,52612,silent,52576
8,11|8|6|3|2|2,6,41,55356,silent,55315
8,11|8|5|5|2|1,6,39,42960,silent,42921
8,11|8|5|4|3|1,6,60,78849,silent,78789
8,11|8|5|4|2|2,6,44,67452,silent,67408
8,11|8|5|3|3|2,6,19,61924,silent,61905
8,11|8|4|4|4|1,6,21,19600,silent,19579
8,11|8|4|4|3|2,6,24,49228,silent,49204
8,11|8|4|3|3|3,6,1,20094,silent,20093
8,11|7|7|5|1|1,6,19,13088,silent,13069
8,11|7|7|4|2|1,6,38,37737,silent,37699
8,11|7|7|3|3|1,6,19,25320,silent,25301
8,11|7|7|3|2|2,6,15,25862,silent,25847
8,11|7|6|6|1|1,6,12,8774,silent,8762
8,11|7|6|5|2|1,6,46,52922,silent,52876
8,11|7|6|4|3|1,6,53,77681,silent,77628
8,11|7|6|4|2|2,6,38,65602,silent,65564
8,11|7|6|3|3|2,6,18,56501,silent,56483
8,11|7|5|5|3|1,6,26,50452,silent,50426
8,11|7|5|5|2|2,6,17,39700,silent,39683
8,11|7|5|4|4|1,6,28,41499,silent,41471
8,11|7|5|4|3|2,6,34,96674,silent,96640
8,11|7|5|3|3|3,6,3,31805,silent,31802
8,11|7|4|4|4|2,6,16,27603,silent,27587
8,11|7|4|4|3|3,6,7,27819,silent,27812
8,11|6|6|6|2|1,6,9,10679,silent,10670
8,11|6|6|5|3|1,6,17,34352,silent,34335
8,11|6|6|5|2|2,6,15,27391,silent,27376
8,11|6|6|4|4|1,6,18,23781,silent,23763
8,11|6|6|4|3|2,6,19,53558,silent,53539
