delta,lam,ell,a,m_det,det_units_lb
10,12|12|8|7|1,5,120,50896,-50776
10,17|13|6|3|1,5,562,51440,-50878
10,11|11|8|8|2,5,52,50997,-50945
10,15|12|9|2|2,5,327,51598,-51271
10,10|9|9|6|6,5,16,51385,-51369
10,18|8|8|5|1,5,263,51717,-51454
10,18|11|7|2|2,5,464,52103,-51639
10,19|11|6|3|1,5,605,52525,-51920
10,14|14|5|4|3,5,160,52201,-52041
10,16|11|9|2|2,5,335,53182,-52847
10,15|11|10|3|1,5,334,53218,-52884
10,13|13|7|6|1,5,179,53541,-53362
10,17|12|7|2|2,5,482,54785,-54303
10,10|10|7|7|6,5,17,54461,-54444
10,20|7|6|5|2,5,238,55169,-54931
10,20|9|6|4|1,5,513,55485,-54972
10,20|8|7|3|2,5,349,55507,-55158
10,20|8|6|3|3,5,200,55621,-55421
10,13|10|8|8|1,5,131,55898,-55767
10,18|12|6|3|1,5,623,56621,-55998
10,17|8|8|6|1,5,236,56405,-56169
10,18|9|6|6|1,5,301,56710,-56409
10,14|7|7|6|6,5,24,56488,-56464
10,17|9|9|4|1,5,306,57246,-56940
10,20|10|5|3|2,5,456,57496,-57040
10,18|8|8|3|3,5,150,57324,-57174
10,10|10|9|8|3,5,43,57334,-57291
10,13|13|9|3|2,5,214,58419,-58205
10,11|8|8|8|5,5,36,58642,-58606
10,17|8|5|5|5,5,47,58870,-58823
10,13|12|7|7|1,5,156,59101,-58945
10,17|11|8|2|2,5,456,59921,-59465
10,18|11|4|4|3,5,286,59799,-59513
10,19|8|7|5|1,5,345,59899,-59554
10,17|10|9|3|1,5,440,60116,-59676
10,15|10|10|4|1,5,290,60234,-59944
10,18|8|7|6|1,5,277,60226,-59949
10,11|11|10|4|4,5,54,60058,-60004
10,18|7|7|6|2,5,150,60251,-60101
10,17|12|4|4|3,5,281,60545,-60264
10,19|10|7|3|1,5,601,60960,-60359
10,16|12|8|2|2,5,478,61102,-60624
10,10|10|10|6|4,5,61,60726,-60665
10,10|9|9|8|4,5,26,60726,-60700
10,19|7|7|5|2,5,203,61386,-61183
10,13|13|5|5|4,5,96,62655,-62559
