delta,lam,ell,a,m_det,class,margin
12,30|5|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,30|5|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,30|5|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,30|5|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,30|5|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,30|5|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,30|4|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,30|4|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,30|4|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,30|4|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,30|4|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,30|4|3|2|2|2|2|1|1|1,10,0,-1,a0,
12,30|4|2|2|2|2|2|2|1|1,10,0,-1,a0,
12,30|3|3|3|3|2|1|1|1|1,10,0,-1,a0,
12,30|3|3|3|2|2|2|1|1|1,10,0,-1,a0,
12,30|3|3|2|2|2|2|2|1|1,10,0,-1,a0,
12,30|3|2|2|2|2|2|2|2|1,10,0,-1,a0,
12,30|2|2|2|2|2|2|2|2|2,10,1,18,silent,17
12,29|11|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|10|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|9|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|9|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,29|8|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|8|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,29|8|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,29|7|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|7|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,29|7|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,29|7|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,29|7|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,29|6|6|1|1|1|1|1|1|1,10,0,-1,a0,
12,29|6|5|2|1|1|1|1|1|1,10,0,-1,a0,
12,29|6|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,29|6|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,29|6|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,29|6|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,29|6|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,29|5|5|3|1|1|1|1|1|1,10,0,-1,a0,
12,29|5|5|2|2|1|1|1|1|1,10,0,-1,a0,
12,29|5|4|4|1|1|1|1|1|1,10,0,-1,a0,
12,29|5|4|3|2|1|1|1|1|1,10,0,-1,a0,
12,29|5|4|2|2|2|1|1|1|1,10,0,-1,a0,
12,29|5|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,29|5|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,29|5|3|2|2|2|2|1|1|1,10,0,-1,a0,
12,29|5|2|2|2|2|2|2|1|1,10,0,-1,a0,
12,29|4|4|4|2|1|1|1|1|1,10,0,-1,a0,
12,29|4|4|3|3|1|1|1|1|1,10,0,-1,a0,
12,29|4|4|3|2|2|1|1|1|1,10,0,-1,a0,
12,29|4|4|2|2|2|2|1|1|1,10,0,-1,a0,
12,29|4|3|3|3|2|1|1|1|1,10,0,-1,a0,
12,29|4|3|3|2|2|2|1|1|1,10,0,-1,a0,
