delta,lam,ell,a,m_det,class,margin
10,19|8|7|2|1|1|1|1,8,5,62333,silent,62328
10,19|8|6|3|1|1|1|1,8,18,164169,silent,164151
10,19|8|6|2|2|1|1|1,8,24,159672,silent,159648
10,19|8|5|4|1|1|1|1,8,18,171469,silent,171451
10,19|8|5|3|2|1|1|1,8,61,383551,silent,383490
10,19|8|5|2|2|2|1|1,8,57,183763,silent,183706
10,19|8|4|4|2|1|1|1,8,22,231210,silent,231188
10,19|8|4|3|3|1|1|1,8,25,219818,silent,219793
10,19|8|4|3|2|2|1|1,8,64,318194,silent,318130
10,19|8|4|2|2|2|2|1,8,55,99978,silent,99923
10,19|8|3|3|3|2|1|1,8,12,120561,silent,120549
10,19|8|3|3|2|2|2|1,8,21,90876,silent,90855
10,19|8|3|2|2|2|2|2,8,17,21092,silent,21075
10,19|7|7|3|1|1|1|1,8,5,72087,silent,72082
10,19|7|7|2|2|1|1|1,8,14,70181,silent,70167
10,19|7|6|4|1|1|1|1,8,13,151616,silent,151603
10,19|7|6|3|2|1|1|1,8,45,314460,silent,314415
10,19|7|6|2|2|2|1|1,8,41,145616,silent,145575
10,19|7|5|5|1|1|1|1,8,13,85684,silent,85671
10,19|7|5|4|2|1|1|1,8,55,394052,silent,393997
10,19|7|5|3|3|1|1|1,8,33,301872,silent,301839
10,19|7|5|3|2|2|1|1,8,82,425810,silent,425728
10,19|7|5|2|2|2|2|1,8,48,122270,silent,122222
10,19|7|4|4|3|1|1|1,8,16,236787,silent,236771
10,19|7|4|4|2|2|1|1,8,43,275559,silent,275516
10,19|7|4|3|3|2|1|1,8,29,332218,silent,332189
10,19|7|4|3|2|2|2|1,8,52,231351,silent,231299
10,19|7|4|2|2|2|2|2,8,24,41698,silent,41674
10,19|7|3|3|3|3|1|1,8,1,60923,silent,60922
10,19|7|3|3|3|2|2|1,8,3,98214,silent,98211
10,19|7|3|3|2|2|2|2,8,6,38564,silent,38558
10,19|6|6|5|1|1|1|1,8,7,55351,silent,55344
10,19|6|6|4|2|1|1|1,8,20,203671,silent,203651
10,19|6|6|3|3|1|1|1,8,21,148378,silent,148357
10,19|6|6|3|2|2|1|1,8,33,205007,silent,204974
10,19|6|6|2|2|2|2|1,8,23,57505,silent,57482
10,19|6|5|5|2|1|1|1,8,29,150672,silent,150643
10,19|6|5|4|3|1|1|1,8,31,303535,silent,303504
10,19|6|5|4|2|2|1|1,8,52,344649,silent,344597
10,19|6|5|3|3|2|1|1,8,31,337968,silent,337937
10,19|6|5|3|2|2|2|1,8,41,227616,silent,227575
10,19|6|5|2|2|2|2|2,8,16,37485,silent,37469
10,19|6|4|4|4|1|1|1,8,2,85243,silent,85241
10,19|6|4|4|3|2|1|1,8,23,296327,silent,296304
10,19|6|4|4|2|2|2|1,8,35,163663,silent,163628
10,19|6|4|3|3|3|1|1,8,4,139484,silent,139480
10,19|6|4|3|3|2|2|1,8,12,216259,silent,216247
10,19|6|4|3|2|2|2|2,8,17,79490,silent,79473
10,19|6|3|3|3|3|2|1,8,0,-1,a0,
10,19|6|3|3|3|2|2|2,8,0,-1,a0,
10,19|5|5|5|3|1|1|1,8,11,70167,silent,70156
10,19|5|5|5|2|2|1|1,8,13,75571,silent,75558
10,19|5|5|4|4|1|1|1,8,9,65644,silent,65635
10,19|5|5|4|3|2|1|1,8,19,212315,silent,212296
10,19|5|5|4|2|2|2|1,8,15,113550,silent,113535
10,19|5|5|3|3|3|1|1,8,1,80764,silent,80763
10,19|5|5|3|3|2|2|1,8,8,125091,silent,125083
10,19|5|5|3|2|2|2|2,8,5,43874,silent,43869
10,19|5|4|4|4|2|1|1,8,6,83665,silent,83659
10,19|5|4|4|3|3|1|1,8,2,96746,silent,96744
10,19|5|4|4|3|2|2|1,8,13,140168,silent,140155
10,19|5|4|4|2|2|2|2,8,10,40959,silent,40949
10,19|5|4|3|3|3|2|1,8,0,-1,a0,
10,19|5|4|3|3|2|2|2,8,2,57465,silent,57463
10,19|5|3|3|3|3|3|1,8,0,-1,a0,
10,19|5|3|3|3|3|2|2,8,0,-1,a0,
10,19|4|4|4|4|3|1|1,8,0,-1,a0,
10,19|4|4|4|4|2|2|1,8,4,22479,silent,22475
10,19|4|4|4|3|3|2|1,8,0,-1,a0,
10,19|4|4|4|3|2|2|2,8,3,20417,silent,20414
10,19|4|4|3|3|3|3|1,8,0,-1,a0,
10,19|4|4|3|3|3|2|2,8,0,-1,a0,
10,19|4|3|3|3|3|3|2,8,0,-1,a0,
10,19|3|3|3|3|3|3|3,8,0,-1,a0,
10,18|16|1|1|1|1|1|1,8,0,-1,a0,
10,18|15|2|1|1|1|1|1,8,0,-1,a0,
