delta,lam,ell,a,m_det,class,margin
10,20|14|2|2|1|1,6,5,773,silent,768
10,20|13|4|1|1|1,6,12,2793,silent,2781
10,20|13|3|2|1|1,6,34,4744,silent,4710
10,20|13|2|2|2|1,6,28,1851,silent,1823
10,20|12|5|1|1|1,6,30,5927,silent,5897
10,20|12|4|2|1|1,6,86,14235,silent,14149
10,20|12|3|3|1|1,6,48,9120,silent,9072
10,20|12|3|2|2|1,6,86,10691,silent,10605
10,20|12|2|2|2|2,6,38,2298,silent,2260
10,20|11|6|1|1|1,6,41,9047,silent,9006
10,20|11|5|2|1|1,6,165,29685,silent,29520
10,20|11|4|3|1|1,6,149,33233,silent,33084
10,20|11|4|2|2|1,6,202,32213,silent,32011
10,20|11|3|3|2|1,6,91,24487,silent,24396
10,20|11|3|2|2|2,6,77,11705,silent,11628
10,20|10|7|1|1|1,6,47,10075,silent,10028
10,20|10|6|2|1|1,6,192,41780,silent,41588
10,20|10|5|3|1|1,6,274,68805,silent,68531
10,20|10|5|2|2|1,6,298,61287,silent,60989
10,20|10|4|4|1|1,6,132,35478,silent,35346
10,20|10|4|3|2|1,6,305,88708,silent,88403
10,20|10|4|2|2|2,6,174,33675,silent,33501
10,20|10|3|3|3|1,6,34,23763,silent,23729
10,20|10|3|3|2|2,6,56,26425,silent,26369
10,20|9|8|1|1|1,6,29,6753,silent,6724
10,20|9|7|2|1|1,6,183,39730,silent,39547
10,20|9|6|3|1|1,6,304,88569,silent,88265
10,20|9|6|2|2|1,6,322,76854,silent,76532
10,20|9|5|4|1|1,6,290,86157,silent,85867
10,20|9|5|3|2|1,6,474,165728,silent,165254
10,20|9|5|2|2|2,6,195,56261,silent,56066
10,20|9|4|4|2|1,6,295,95982,silent,95687
10,20|9|4|3|3|1,6,142,84518,silent,84376
10,20|9|4|3|2|2,6,207,90371,silent,90164
10,20|9|3|3|3|2,6,18,30825,silent,30807
10,20|8|8|2|1|1,6,61,16046,silent,15985
10,20|8|7|3|1|1,6,219,65057,silent,64838
10,20|8|7|2|2|1,6,207,55361,silent,55154
10,20|8|6|4|1|1,6,278,99911,silent,99633
10,20|8|6|3|2|1,6,465,179334,silent,178869
10,20|8|6|2|2|2,6,205,59685,silent,59480
10,20|8|5|5|1|1,6,149,52866,silent,52717
10,20|8|5|4|2|1,6,479,199087,silent,198608
10,20|8|5|3|3|1,6,220,141915,silent,141695
10,20|8|5|3|2|2,6,263,145712,silent,145449
10,20|8|4|4|3|1,6,197,104149,silent,103952
10,20|8|4|4|2|2,6,211,91451,silent,91240
10,20|8|4|3|3|2,6,81,99068,silent,98987
10,20|8|3|3|3|3,6,1,15758,silent,15757
10,20|7|7|4|1|1,6,142,46410,silent,46268
10,20|7|7|3|2|1,6,188,79279,silent,79091
10,20|7|7|2|2|2,6,54,24979,silent,24925
10,20|7|6|5|1|1,6,137,58201,silent,58064
10,20|7|6|4|2|1,6,387,176265,silent,175878
10,20|7|6|3|3|1,6,168,117471,silent,117303
10,20|7|6|3|2|2,6,208,119688,silent,119480
10,20|7|5|5|2|1,6,179,102038,silent,101859
10,20|7|5|4|3|1,6,288,182996,silent,182708
10,20|7|5|4|2|2,6,227,151620,silent,151393
10,20|7|5|3|3|2,6,116,136956,silent,136840
10,20|7|4|4|4|1,6,99,45204,silent,45105
10,20|7|4|4|3|2,6,132,109160,silent,109028
10,20|7|4|3|3|3,6,10,43174,silent,43164
10,20|6|6|6|1|1,6,15,10224,silent,10209
10,20|6|6|5|2|1,6,118,65536,silent,65418
10,20|6|6|4|3|1,6,135,95316,silent,95181
10,20|6|6|4|2|2,6,149,80146,silent,79997
10,20|6|6|3|3|2,6,45,66290,silent,66245
10,20|6|5|5|3|1,6,86,75205,silent,75119
10,20|6|5|5|2|2,6,52,57145,silent,57093
10,20|6|5|4|4|1,6,96,62157,silent,62061
10,20|6|5|4|3|2,6,131,139512,silent,139381
10,20|6|5|3|3|3,6,13,44669,silent,44656
10,20|6|4|4|4|2,6,78,42280,silent,42202
10,20|6|4|4|3|3,6,18,40347,silent,40329
10,20|5|5|5|4|1,6,15,17999,silent,17984
10,20|5|5|5|3|2,6,20,32390,silent,32370
10,20|5|5|4|4|2,6,23,30995,silent,30972
10,20|5|5|4|3|3,6,20,30048,silent,30028
10,20|5|4|4|4|3,6,18,14432,silent,14414
10,20|4|4|4|4|4,6,10,1494,silent,1484
10,19|17|1|1|1|1,6,0,-1,a0,
10,19|16|2|1|1|1,6,0,-1,a0,
